code,title
SN4V,- - - - - Acne disorder (TM2)
SN4W,- - - - - Ulcer disorder (TM2)
SN5Y,- - - - - Other specified skin disorders (TM2)
SN5Z,"- - - - - Skin disorders (TM2), unspecified"
SN60,- - - - - Brittle nails disorder (TM2)
SN6Y,- - - - - Other specified nail disorders (TM2)
SN6Z,"- - - - - Nail disorders (TM2), unspecified"
SN70,- - - - - Furunculosis of scalp disorder (TM2)
SN71,- - - - - Baldness disorder (TM2)
SN72,- - - - - Folliculitis disorder (TM2)
SN73,- - - - - Premature greying of hair disorder (TM2)
SN7Y,- - - - - Other specified hair disorders (TM2)
SN7Z,"- - - - - Hair disorders (TM2), unspecified"
SN90,- - - - Patchy alopecia disorder (TM2)
SN91,- - - - Dandruff disorder (TM2)
SN92,- - - - Carbuncle disorder (TM2)
SN9Y,"- - - - Other specified skin, nail and hair disorders (TM2)"
SN9Z,"- - - - Skin, nail and hair disorders (TM2), unspecified"
SP00,- - - - - Osteoporosis disorder (TM2)
SP0Y,- - - - - Other specified bone disorders (TM2)
SP0Z,"- - - - - Bone disorders (TM2), unspecified"
SP10,- - - - - Polyarthritis disorder (TM2)
SP11,- - - - - Rheumatism disorder (TM2)
SP12,- - - - - Osteoarthritis disorder (TM2)
SP13,- - - - - Hip joint pain disorder (TM2)
SP14,- - - - - Gout disorder (TM2)
SP15,- - - - - Frozen shoulder disorder (TM2)
SP1Y,- - - - - Other specified joint disorders (TM2)
SP1Z,"- - - - - Joint disorders (TM2), unspecified"
SP20,"- - - - - Muscle pain, twisting disorder (TM2)"
SP21,- - - - - Atony disorder (TM2)
SP2Y,- - - - - Other specified muscle disorders (TM2)
SP2Z,"- - - - - Muscle disorders (TM2), unspecified"
SP40,- - - - Achillodynia disorder (TM2)
SP41,- - - - Sciatica disorder (TM2)
SP42,- - - - Lumbar spondylosis disorder (TM2)
SP43,- - - - Lumbo-sacroiliac disorder (TM2)
SP44,- - - - Torticollis disorder (TM2)
SP45,- - - - Cervical spondylosis disorder (TM2)
SP4Y,"- - - - Other specified bone, joint and muscle disorders (TM2)"
SP4Z,"- - - - Bone, joint and muscle disorders (TM2), unspecified"
SP50,- - - - - Enteric fever disorder (TM2)
SP51,- - - - - Fever disorder (TM2)
SP52,- - - - - Fever disorder with excessive salivation (TM2)
SP53,- - - - - High fever disorder with yellow discouloration (TM2)
SP54,- - - - - Fever with body pain disorder (TM2)
SP55,- - - - - Fever with chills disorder (TM2)
SP56,- - - - - High grade fever disorder (TM2)
SP57,- - - - - Intermittent fever disorder (TM2)
SP58,- - - - - Continuous fever disorder (TM2)
SP59,- - - - - Fever disorder due to external factor (TM2)
SP5A,- - - - - Inflammation with morbid matter disorder (TM2)
SP5B,- - - - - Consumptive disorder (TM2)
SP5Y,- - - - - Other specified febricity disorders (TM2)
SP5Z,"- - - - - Febricity disorders (TM2), unspecified"
SP60,- - - - - Diabetes mellitus disorder (TM2)
SP61,- - - - - Emaciation disorder (TM2)
SP62,- - - - - High fat disorder (TM2)
SP63,- - - - - Polydipsia disorder (TM2)
SP64,- - - - - Obesity disorder (TM2)
SP6Y,- - - - - Other specified metabolic disorders (TM2)
SP6Z,"- - - - - Metabolic disorders (TM2), unspecified"
SP70,- - - - - Lipoma disorder (TM2)
SP71,- - - - - Benign tumour disorder (TM2)
SP72,- - - - - Deep rooted spreading tumour disorder (TM2)
SP7Y,- - - - - Other specified tumours disorders (TM2)
SP7Z,"- - - - - Tumours disorders (TM2), unspecified"
SP90,- - - - Abscess disorder (TM2)
SP91,- - - - Generalised oedema disorder (TM2)
SP92,- - - - Oedema disorder (TM2)
SP93,- - - - Impaired immunity disorder (TM2)
SP94,- - - - Inflammation disorder (TM2)
SP95,- - - - Excessive yawning disorder (TM2)
SP96,- - - - Laziness disorder (TM2)
SP97,- - - - Severe fatigue disorder (TM2)
SP98,- - - - Syncope disorder (TM2)
SP99,- - - - Pruritus disorder (TM2)
SP9A,- - - - General debility disorder (TM2)
SP9Y,- - - - Other specified disorders affecting the whole body (TM2)
SP9Z,"- - - - Disorders affecting the whole body (TM2), unspecified"
SQ00,- - - - - Delirium disorder (TM2)
