Foundation URI,Linearization URI,Code,BlockId,Title,ClassKind,DepthInKind,IsResidual,ChapterNo,BrowserLink,isLeaf,Primary tabulation,Grouping1,Grouping2,Grouping3,Grouping4,Grouping5
http://id.who.int/icd/entity/1478258208,http://id.who.int/icd/release/11/mms/1478258208,SK6R,,- - - - - Non-inflammatory swelling of eye disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/586586735,http://id.who.int/icd/release/11/mms/586586735,SK6S,,- - - - - Periorbital polyp disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/914462183,http://id.who.int/icd/release/11/mms/914462183,SK6T,,- - - - - Phlyctenular nodule disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/636964423,http://id.who.int/icd/release/11/mms/636964423,SK6U,,- - - - - Trachoma disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/1093380270,http://id.who.int/icd/release/11/mms/1093380270,SK6V,,- - - - - Corneal opacity disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/1904639108,http://id.who.int/icd/release/11/mms/1904639108,SK6W,,- - - - - Panopthalmitis disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/683350676,http://id.who.int/icd/release/11/mms/683350676,SK6X,,- - - - - Phthisis bulbi disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
,http://id.who.int/icd/release/11/mms/1249767098/other,SK7Y,,- - - - - Other specified eye disorders (TM2),category,1,True,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
,http://id.who.int/icd/release/11/mms/1249767098/unspecified,SK7Z,,"- - - - - Eye disorders (TM2), unspecified",category,1,True,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/2753503,http://id.who.int/icd/release/11/mms/2753503,,BlockL4-SK8,- - - - Ear disorders (TM2),block,4,False,26,browser,False,,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/33641403,http://id.who.int/icd/release/11/mms/33641403,SK80,,- - - - - Ear abscess disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/1716609481,http://id.who.int/icd/release/11/mms/1716609481,SK81,,- - - - - Deafness disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/202033980,http://id.who.int/icd/release/11/mms/202033980,SK82,,- - - - - Otorrhoea disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/109538384,http://id.who.int/icd/release/11/mms/109538384,SK83,,- - - - - Pruritus of ear disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/1696401650,http://id.who.int/icd/release/11/mms/1696401650,SK84,,- - - - - Dysacousia disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/1871753118,http://id.who.int/icd/release/11/mms/1871753118,SK85,,- - - - - Impacted cerumen disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/2055987526,http://id.who.int/icd/release/11/mms/2055987526,SK86,,- - - - - Tinnitus disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/468572879,http://id.who.int/icd/release/11/mms/468572879,SK87,,- - - - - Otalgia disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/1702232830,http://id.who.int/icd/release/11/mms/1702232830,SK88,,- - - - - Otitis disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/466297143,http://id.who.int/icd/release/11/mms/466297143,SK89,,- - - - - Pustules of pinna disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
,http://id.who.int/icd/release/11/mms/2753503/other,SK8Y,,- - - - - Other specified ear disorders (TM2),category,1,True,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
,http://id.who.int/icd/release/11/mms/2753503/unspecified,SK8Z,,"- - - - - Ear disorders (TM2), unspecified",category,1,True,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/341642327,http://id.who.int/icd/release/11/mms/341642327,,BlockL4-SK9,- - - - Nose disorders (TM2),block,4,False,26,browser,False,,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/832593195,http://id.who.int/icd/release/11/mms/832593195,SK90,,- - - - - Epistaxis disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/1405861608,http://id.who.int/icd/release/11/mms/1405861608,SK91,,- - - - - Anosmia disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/1467361496,http://id.who.int/icd/release/11/mms/1467361496,SK92,,- - - - - Dry nose disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/1576767412,http://id.who.int/icd/release/11/mms/1576767412,SK93,,- - - - - Atrophic rhinitis disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
